Chin,Sex,Group,Exposed,Click_P1,Click_N1,Click_P2,Click_N2,Click_P3,Click_N3,Click_P4,Click_N4,Click_P5,Click_N5,Click_Threshold,Click_P1_Latency,Click_N1_Latency,Click_P2_Latency,Click_N2_Latency,Click_P3_Latency,Click_N3_Latency,Click_P4_Latency,Click_N4_Latency,Click_P5_Latency,Click_N5_Latency,4k_P1,4k_N1,4k_P2,4k_N2,4k_P3,4k_N3,4k_P4,4k_N4,4k_P5,4k_N5,4k_Threshold,4k_P1_Latency,4k_N1_Latency,4k_P2_Latency,4k_N2_Latency,4k_P3_Latency,4k_N3_Latency,4k_P4_Latency,4k_N4_Latency,4k_P5_Latency,4k_N5_Latency,F2_500,F2_565,F2_638,F2_721,F2_815,F2_921,F2_1041,F2_1176,F2_1329,F2_1502,F2_1698,F2_1918,F2_2168,F2_2449,F2_2768,F2_3128,F2_3535,F2_3994,F2_4513,F2_5100,F2_5763,F2_6513,F2_7359,F2_8316,F2_9397,F2_10619,F2_12000,elicit_dbspl_34,elicit_dbspl_40,elicit_dbspl_46,elicit_dbspl_52,elicit_dbspl_58,elicit_dbspl_64,elicit_dbspl_70,elicit_dbspl_76,elicit_dbspl_82,elicit_dbspl_88,elicit_dbspl_94,Threshold,R_PLV_SAM,R_PLV_SQ50,R_PLV_SQ25
Q403,M,CA,0,0.581649119582332,0.255812774540807,1.18874483371076,-0.341473729549478,1.18874483371076,-0.341473729549478,0.417914482630584,-0.123477647495791,0.417914482630584,-0.776080103544588,27.6670084472158,3.94241009256984,4.16769066928811,4.55681166543786,5.18145326452036,4.55681166543786,5.18145326452036,5.81633488981732,6.1952158597526,5.81633488981732,6.79937740640616,0.52510844544348,0.224714662805786,1.04634815011291,-0.248772342008994,1.04634815011291,-0.248772342008994,1.04634815011291,-0.0814124679013606,0.518909336253243,-0.877311227554916,17.8416684459513,3.93217006635537,4.18817072171705,4.55681166543786,5.14049315966249,4.55681166543786,5.14049315966249,4.55681166543786,5.5091341033833,5.87777504710412,7.37281887441632,NaN,NaN,NaN,NaN,24.93975886,30.39968916,32.08550331,31.51105533,20.53016233,26.44408598,32.4368878,31.97633809,31.01621747,31.58723331,32.7857117,34.12070675,35.1743106,36.99690915,38.5328653,38.54311974,39.96746799,38.93365977,37.68203014,33.94448332,29.053486,21.2313173,12.36996992,0.000839083116706376,0.00177609416985089,0.00375889473108048,0.0079526698023775,0.0168138374651165,0.0354968547161971,0.0747112098880336,0.156246115388174,0.322495937607454,0.648376361313944,1.24049356188322,66.7578017724926,4.342257517759,5.37885204049341,4.10052028218227
Q403,M,CA,2,0.0763510139319966,-0.0059540774658805,0.311415474356587,0.304420243451043,0.311415474356587,0.304420243451043,0.352617546386517,-0.0908579033269209,0.158022314770865,-0.153411032439279,21.6498991436842,4.05505038092898,4.24961087900385,5.01761284508888,5.05857294994675,5.01761284508888,5.05857294994675,5.20193331694929,5.65249447038584,6.04161546653559,6.70721717047596,-0.225683801586191,-0.0125667126122166,-0.110685896179266,-0.490202656701727,-0.485302202213816,-0.490202656701727,0.165145394835653,0.0881157470152489,0.2319033465407,0.0416900665257145,26.0658365348954,3.75808962070943,4.10625051200131,4.80257229458507,5.12001310723355,5.07905300237569,5.12001310723355,5.63201441795691,5.75489473253052,6.66625706561809,7.96674039485541,NaN,NaN,29.37364073,33.80967142,30.7112104,29.64991473,24.83781448,36.4126937,38.49972373,40.3062312,39.75928808,38.23214674,36.11847964,37.57529393,37.69171556,38.56018788,36.97094665,42.079252,43.48392208,44.39535108,46.08213731,43.17510622,41.81339075,40.77114709,36.27510495,30.55353528,19.80383764,9.95317830706328e-06,3.30456378641696e-05,0.00010971452315011,0.000364255583608316,0.00120926684466507,0.00401375821686329,0.0133134955142038,0.0440634769772236,0.144785510594076,0.464773557140155,1.39014043602478,76.6350022071813,5.03845275857256,5.38959827238451,3.82237593679089
Q405,M,CA,0,0.97884454806368,0.078650016982949,1.09036451352952,0.271227638095504,0.666538780656949,0.271227638095504,0.425838095445964,0.278949506644399,0.810167120450673,-0.66706481479336,20.9985397215111,3.8297698042107,4.15745064307365,4.58753174408127,5.25313344802163,5.05857294994675,5.25313344802163,5.52961415581224,5.68321454902925,6.14401572868027,6.86081756369296,1.00881245510673,-0.180954563205886,1.25902794563326,0.444138601266728,1.41704029681153,0.444138601266728,1.41704029681153,0.0189538022588644,0.562453170905321,-0.754576916645406,9.50316065916642,3.8604898828541,4.25985090521832,4.65921192758254,4.92545260915868,5.21217334316376,4.92545260915868,5.21217334316376,5.49889407716884,6.2566560170394,7.36257884820185,NaN,NaN,NaN,17.72886728,NaN,21.58482445,21.85928465,20.76722392,20.69841518,20.91344834,21.85056467,21.53213701,24.4986187,27.06029994,28.9263162,32.31253105,33.60653509,32.9472474,35.93736698,37.14856022,37.60549519,35.60512997,34.98247768,26.98350337,19.60133824,18.36409193,8.307686811,1.13666289879473e-07,5.91858003953416e-07,3.08179066780945e-06,1.60467670897077e-05,8.35537081645936e-05,0.000435022232339237,0.00226406158646031,0.0117594474536149,0.0604442885048959,0.294991957714656,1.15787265647925,81.3000432235043,6.29475123954437,6.57543133975185,5.45229808816896
Q405,M,CA,2,0.249965754883329,0.0182791788507057,0.526357279447604,0.510612834824261,0.526357279447604,0.510612834824261,0.627423490190829,0.273384969020172,0.391125917887291,-0.451760855632893,29.6795288602453,4.10625051200131,4.31105103629065,4.84353239944294,4.80257229458507,4.84353239944294,4.80257229458507,5.4784140247399,5.92897517817646,6.27713606946834,6.8812976161219,0.128060818759941,0.0440329644400708,0.310714823684421,0.0519368737727958,0.178312225786336,0.0519368737727958,0.566682891575669,-0.0938299453185861,0.405216353672629,-0.541471739660244,60.5047357413464,3.98337019742771,4.20865077414598,4.6080117965102,4.93569263537315,4.80257229458507,4.93569263537315,5.36577373638077,5.71393462767265,6.31809617432621,7.6902596870648,NaN,NaN,NaN,25.49972976,28.12399897,31.95409469,29.6502202,28.90359807,28.50252283,33.74121995,34.3966442,32.78329391,26.68631806,30.83709473,33.69007841,40.45157477,40.29715566,39.08942918,32.04789031,38.54883463,42.99691759,43.80714201,45.73136888,41.0873722,33.31204934,25.72055514,21.27797971,3.17300676877338e-06,1.22394523679528e-05,4.72100242267939e-05,0.000182068218017351,0.000701706159033308,0.00269776389656471,0.0102744199894366,0.0377840136341979,0.123522223080568,0.3,0.476477776919432,77.3426876764517,2.33003922113957,3.84084096716739,3.296051356006
Q408,F,CA,0,0.380436455981926,0.102465176878178,0.236621426160642,-0.116455068946529,0.236621426160642,-0.116455068946529,0.121722327509475,-0.231226026586247,-0.217520643037892,-0.292769612651505,31.9733649364014,3.8912099614975,4.13697059064471,4.41345129843532,4.97665274023101,4.41345129843532,4.97665274023101,5.24289342180716,5.71393462767265,5.84705496846072,7.10657819284017,0.329473235962439,0.0593096863077172,0.118271058902164,0.0726034521141418,0.334498671506924,0.0726034521141418,0.334498671506924,-0.488140223589844,-0.0585781081214903,-0.516872662918971,25.3352863027381,3.70688948963709,4.23937085278938,4.71041205865487,4.84353239944294,5.20193331694929,4.84353239944294,5.20193331694929,5.64225444417138,6.05185549275006,7.17825837634144,NaN,NaN,NaN,NaN,NaN,27.43473494,27.32966239,27.55274736,NaN,34.63846372,33.78220567,33.08266362,33.36636248,36.090668,28.88622933,36.4910943,39.99791453,39.44517057,39.29488729,43.54908441,44.68152784,41.49381413,39.75826701,37.20439438,31.02632044,23.66116766,12.06001885,0.00456784914084802,0.00716187680483228,0.0112272985445329,0.0175962138479309,0.0275676398947238,0.0431642223450353,0.0675224366879535,0.105474649253694,0.164390719830986,0.255331138337912,0.394476270724464,65.9696876260449,5.51758352766528,4.51026755615498,4.06225576101452
Q408,F,CA,2,0.372962130529859,-0.0336712658917493,0.817674673740636,0.817763059610571,0.817674673740636,0.817763059610571,0.876612782225956,0.463430596921138,0.729243490027276,-0.0353860644906583,28.4620397752795,3.68640943720816,4.22913082657492,5.09953305480462,5.13025313344802,5.09953305480462,5.13025313344802,5.26337347423609,5.61153436552798,5.92897517817646,7.19873842877038,0.221023884294392,-0.036452676343331,0.238581995066238,0.0650923999343261,0.238581995066238,0.0650923999343261,0.912778209213658,0.0523046638155724,0.635323280470906,-0.431366898783864,12.8185065838879,3.87072990906857,4.32129106250512,4.65921192758254,4.86401245187188,4.65921192758254,4.86401245187188,5.30433357909396,5.93921520439092,6.47169656754321,7.50593921520439,NaN,NaN,NaN,NaN,NaN,27.70859079,27.23689234,29.09956841,27.00917338,27.17649845,26.99142124,NaN,26.46991223,31.54147307,32.75701772,31.79545781,34.18312656,35.07152999,40.88977947,44.45128047,44.92633339,43.8938859,43.35571924,44.1367056,35.06992081,32.4917786,23.91155803,3.7994452029977e-08,2.6705103116469e-07,1.87701322958116e-06,1.31926907628306e-05,9.27150116319625e-05,0.000651058335871568,0.00454634476071649,0.0305588821517661,0.164331011243533,0.435668988756468,0.569441117848234,77.6218606990819,3.67964263473678,3.83071762993438,3.80842893572409
Q409,F,CA,0,0.729682669426536,0.138258587392151,0.852132343673114,0.27022934899606,0.758827465719985,0.27022934899606,0.758827465719985,0.215509369845975,0.589321264019031,-0.582371167344495,23.4374218026909,3.8604898828541,4.17793069550258,4.7308921110838,5.33505365773736,5.55009420824117,5.33505365773736,5.55009420824117,5.82657491603179,6.18497583353813,7.05537806176784,0.967222749050393,-0.0235547620873863,1.0693447542964,0.709860815167588,1.0693447542964,0.709860815167588,1.45730358121476,0.123657955861016,0.739775976172923,-0.780202475790192,17.0408914151332,3.77856967313836,4.18817072171705,4.61825182272467,4.79233226837061,4.61825182272467,4.79233226837061,5.09953305480462,5.86753502088965,6.15425575489473,7.19873842877038,NaN,NaN,NaN,NaN,22.15630016,21.93969,25.68480096,29.97059141,30.19628052,30.80249533,29.92616629,25.93793738,28.91125199,32.22363919,37.76143375,39.72468072,37.438992,41.14207395,36.7602254,42.53893521,45.49527086,42.92137906,41.43630254,40.93868754,37.01951527,34.48143091,22.07832987,0.000814404201509129,0.00172385610603175,0.00364833900369576,0.0077187677493664,0.0163193128337895,0.0344528295774854,0.072513821361915,0.151650641406169,0.313010762971941,0.629306468334123,1.20400845712195,66.9984214143908,4.53501977748502,6.00529090705267,5.34726503167826
Q409,F,CA,2,0.207725894890476,0.0662634371321282,0.529507854416393,0.456062756607407,0.529507854416393,0.181413801527538,0.50514960176896,0.221978694788041,0.417831041301133,-0.241794102054475,28.5138691835736,3.7683296469239,4.34177111493405,4.89473253051528,4.78209224215614,4.89473253051528,5.18145326452036,5.4784140247399,5.82657491603179,6.37953633161301,6.86081756369296,0.133834170208353,0.00407505703738911,0.338365402696445,0.0953031543146271,0.135402594056368,0.0953031543146271,0.501346620895012,0.0789140764831755,0.399036939681264,-0.295636525638279,22.9464345658352,3.87072990906857,4.22913082657492,4.62849184893913,4.99713279265995,4.93569263537315,4.99713279265995,5.4169738674531,5.74465470631605,6.43073646268534,7.6595396084214,NaN,NaN,31.39689812,30.75462093,30.67973942,32.76043285,30.91772568,31.55175513,31.66423571,32.09174026,31.68934402,30.91492629,30.87614224,35.94058794,36.69364538,38.11683396,38.06345216,39.20794883,39.6648352,40.43372278,40.15841992,36.79380688,35.86994899,32.72036628,26.15246043,20.66284623,11.76655423,1.7437206169079e-12,3.01450616151477e-11,5.21141248517266e-10,9.00937613601381e-09,1.5575210630353e-07,2.69260160424091e-06,4.65470677258539e-05,0.000804085935629235,0.0137211592825189,0.19387893782386,0.80612106217614,84.8011810964917,3.847008094515,3.21972691282949,3.36992994591727
Q406,M,TTS,0,0.518149481724324,0.432691436424817,0.705038552750926,0.558510257406398,0.831030381619157,-0.23175376430424,0.831030381619157,-0.23175376430424,0.472176302875331,-0.538771376185678,30.3128742260992,3.93217006635537,4.16769066928811,4.68993200622594,4.90497255672974,5.30433357909396,5.85729499467519,5.30433357909396,5.85729499467519,6.30785614811174,6.90177766855083,0.800145218418938,0.171724794106512,1.01979764177653,0.171724794106512,1.01979764177653,0.171724794106512,1.02276764329698,-0.574522190396757,0.494721703604401,-0.506456088936199,2.12635898062184,3.88096993528303,4.37249119357746,5.24289342180716,4.37249119357746,5.24289342180716,4.37249119357746,5.26337347423609,5.82657491603179,6.24641599082494,6.9120176947653,NaN,NaN,NaN,25.23493732,29.86988032,34.99394141,33.02417152,33.72625294,33.7524329,34.70509904,34.41921689,35.24646955,37.66782314,37.86528438,37.7450212,41.54429874,37.72256804,39.45223163,40.13720218,42.30049933,44.05204201,41.27367125,41.50354928,39.72007341,38.6764669,37.80942534,25.24132604,3.40998869638419e-07,1.77557401186025e-06,9.24537200342836e-06,4.8140301269123e-05,0.000250661124493781,0.00130506669701771,0.00679218475938093,0.0352783423608446,0.181332865514688,0.884975873143968,3.47361796943775,77.2729090273403,3.26994182333567,6.1795063786199,6.5672140528313
Q406,M,TTS,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.07036767,22.12028637,22.66197994,25.30885052,26.89462818,26.94675849,31.62780334,33.46344681,32.26581826,33.33804572,30.13884867,34.48753518,32.32757591,35.7068781,36.94663167,34.73024895,33.1168256,31.50621227,28.16012976,24.36414284,13.68823779,0.00132666872861664,0.00280682463613324,0.00593429557592346,0.0125283016645402,0.0263686623134236,0.0551456877840615,0.11382209562616,0.228838715757863,0.437821257135255,0.769971121979057,1.2,63.1988191863195,NaN,NaN,NaN
